Iteration Agents Items Duration Price_Rise_Steps Tranfer_Steps
80906 4 11 1089 5 5
80907 19 40 125321 47 26
80908 17 24 117851 19 12
80909 11 9 1648 5 1
80910 15 18 29995 11 4
80911 14 4 842 0 0
80912 1 28 298 0 0
80913 6 17 2792 4 3
80914 8 2 331 0 0
80915 4 6 764 1 3
80916 19 33 69436 21 12
80917 3 34 1426 2 2
80918 19 14 8573 6 6
80919 7 40 38249 10 11
80920 18 14 6827 8 4
80921 18 12 5479 3 2
80922 17 27 33037 15 12
80923 18 28 90875 23 8
80924 9 30 28220 24 18
80925 15 36 18515 23 12
80926 6 23 22950 6 7
80927 14 18 8612 8 10
80928 11 15 3506 7 5
80929 20 40 146516 41 25
80930 12 16 21451 8 6
80931 2 36 475 0 0
80932 1 11 217 0 0
80933 19 34 76138 22 10
80934 17 1 620 0 0
80935 12 14 3790 3 4
80936 16 13 7133 8 4
80937 20 14 7225 4 4
80938 8 14 27969 5 3
80939 8 4 1056 0 1
80940 1 38 364 0 0
80941 12 4 1266 0 1
80942 20 6 2218 0 1
80943 13 17 3623 3 3
80944 10 4 632 0 1
80945 12 16 7869 13 6
80946 5 21 1005 3 2
80947 2 25 599 2 1
80948 1 24 112 0 0
80949 9 33 39582 16 13
80950 10 3 654 0 0
80951 13 40 97176 31 18
80952 5 29 47496 7 8
80953 14 25 73384 29 14
80954 15 11 2158 1 2
80955 18 29 58720 18 10
80956 7 13 3897 6 5
80957 15 22 11135 16 10
80958 13 2 176 0 0
80959 19 12 32947 3 4
80960 14 15 11683 13 13
80961 20 23 49114 14 15
80962 11 15 1824 2 0
80963 13 16 4991 12 4
80964 9 10 3032 8 3
80965 16 28 50920 4 4
80966 11 40 12428 16 12
80967 10 14 31842 6 5
80968 16 6 732 0 0
80969 13 27 16159 18 11
80970 2 4 117 0 0
80971 6 39 59663 10 7
80972 5 10 1768 6 6
80973 15 1 263 0 0
80974 4 19 2201 2 2
80975 10 39 38928 16 8
80976 5 36 1639 2 2
80977 6 7 1772 3 1
80978 16 25 61644 25 19
80979 1 1 135 0 0
80980 11 38 58337 28 17
80981 9 26 5473 13 5
80982 20 23 46159 24 11
80983 15 5 273 0 0
80984 15 29 115156 41 21
80985 20 9 4514 2 4
80986 15 27 4883 8 5
80987 12 33 65463 29 19
80988 3 9 2080 3 3
80989 2 28 2287 3 4
80990 7 19 4839 8 4
80991 3 31 2245 5 4
80992 5 36 1669 3 4
80993 13 38 80562 11 11
80994 7 10 2106 3 2
80995 17 4 754 0 0
80996 11 37 65372 16 15
80997 4 15 3196 5 4
80998 17 30 51577 25 10
80999 13 39 90820 25 24
81000 7 12 649 1 2
81001 3 7 418 2 1
81002 20 25 95001 35 22
81003 9 30 3870 9 7
81004 6 40 8230 6 4
81005 7 31 31710 14 8
